,event_id,lat,lon,fujita_scale,datetime,grid_id
0,862096,35.05,-89.98,1,2019-10-21 05:00:00,1
1,10348864,35.07,-89.83,3,1994-11-27 15:00:00,1
2,10349256,35.07,-89.42,0,1994-06-26 20:00:00,2
3,5685492,35.02,-89.18,1,1999-01-17 18:00:00,3
4,5685485,35.07,-88.97,1,1999-01-17 19:00:00,4
5,5684232,35.05,-88.82,0,1999-01-22 12:00:00,4
6,5595090,35.07,-88.63,2,1997-03-01 05:00:00,5
7,5356287,35.03,-88.57,0,2003-05-05 08:00:00,5
8,83190,35.07,-88.61,1,2008-02-05 19:00:00,5
9,10118694,35.05,-88.72,3,1991-03-22 16:00:00,5
10,237794,35.08,-88.74,0,2010-05-02 02:00:00,5
11,237690,35.06,-88.79,3,2010-05-02 02:00:00,5
12,611942,35.05,-88.79,4,2015-12-23 17:00:00,5
13,5245175,35.07,-88.63,1,2001-05-31 14:00:00,5
14,5595059,35.05,-88.25,F0,1997-03-28 20:00:00,6
15,303574,35.02,-88.27,EF2,2011-04-27 16:00:00,6
16,812122,35.08,-88.25,0,2019-03-09 15:00:00,6
17,625282,35.08,-88.29,1,2016-03-31 15:00:00,6
18,318221,35.01,-87.91,0,2011-04-27 03:00:00,7
19,607153,35.01,-87.96,1,2015-12-23 19:00:00,7
20,878856,35.07,-87.47,F1,2020-02-05 17:00:00,8
21,95098,35.08,-87.49,1,2008-05-08 11:00:00,8
22,794013,35.01,-87.3,0,2018-11-05 23:00:00,8
23,793961,35.05,-87.51,1,2018-11-05 23:00:00,8
24,879130,35.06,-87.29,0,2020-02-12 17:00:00,9
25,999758,35.03,-86.96,0,2021-12-11 06:00:00,10
26,5165995,35.02,-86.82,1,2000-12-16 13:00:00,10
27,865559,35.01,-86.83,0,2019-12-16 17:00:00,10
28,5499693,35.02,-86.5,0,2006-04-07 18:00:00,11
29,66406,35.04,-86.48,1,2007-11-14 17:00:00,11
30,505228,35.01,-86.55,3,2014-04-28 19:00:00,11
31,505227,35.02,-86.49,2,2014-04-28 17:00:00,11
32,152435,35.08,-86.3,1,2009-03-28 18:00:00,12
33,5598129,35.02,-86.27,2,1997-05-02 17:00:00,12
34,301945,35.01,-86.32,3,2011-04-27 16:00:00,12
35,5581978,35.05,-86.3,2,1996-11-07 16:00:00,12
36,5400597,35.05,-86.32,1,2004-05-31 00:00:00,12
37,195382,35.04,-85.52,0,2009-10-09 16:00:00,13
38,195380,35.08,-85.56,0,2009-10-09 16:00:00,13
